Neighborhood,Sublocality,City,Property Type,Price (INR),Area (sq ft),Bedrooms,Price per sq ft,Monthly Rent (INR),Schools Nearby,Hospitals Nearby,Public Transport,Amenities,Community Sentiment,Crime Rate,Professions,General Income (INR)
Hadapsar,Gadital,Pune,Apartment,8500000,1350,3,6296,25000,7,6,High,Swimming Pool,High,Moderate,"(Bank Manager, Consultant, Investment Analyst)",90000-300000
Hadapsar,Manjari Budruk,Pune,Apartment,7800000,1300,3,6000,22000,6,5,High,Gym,High,Moderate,"(IT Support, Digital Marketer, Freelancer)",60000-180000
Hadapsar,Kalepadal,Pune,Apartment,7700000,1280,3,6016,21000,6,5,High,Gated Community,High,Moderate,"(Retail Manager, Pharmacist, Accountant)",70000-200000
Hadapsar,Sasane Nagar,Pune,Apartment,7900000,1300,3,6077,22000,6,5,High,Security,High,Moderate,"(Professor, Marketing Manager, IT Professional)",90000-250000
Fursungi,Near HP Petrol Pump,Pune,Apartment,6800000,1200,3,5667,18000,5,4,Moderate,Gated Society,Moderate,Moderate,"(IT Support, Accountant, Sales Executive)",60000-180000
Fursungi,Near PMPML Bus Depot,Pune,Apartment,7000000,1250,3,5600,19000,5,4,Moderate,Parking,Moderate,Moderate,"(Marketing Professional, HR Manager, Consultant)",70000-200000
Manjari Khurd,Near Manjari Station,Pune,Apartment,7200000,1300,3,5538,20000,5,4,Moderate,Gym,Moderate,Moderate,"(Doctor, Real Estate Agent, Small Business Owner)",80000-250000
Manjari Budruk,Near Orbis School,Pune,Apartment,7500000,1350,3,5556,21000,6,5,High,Gated Security,High,Moderate,"(Software Engineer, Digital Marketer, Civil Engineer)",90000-300000
Bhekrai Nagar,Near Sai Mandir,Pune,Apartment,6900000,1200,3,5750,18500,5,4,Moderate,Parking,Moderate,Moderate,"(Retailer, Hardware Business Owner, Local Vendor)",50000-150000
Bhekrai Nagar,Near JSPM College,Pune,Apartment,7100000,1250,3,5680,19500,5,4,Moderate,Security,Moderate,Moderate,"(Professor, Consultant, Sales Manager)",70000-180000
Harpale Vasti,Near Palkhi Chowk,Pune,Apartment,6600000,1100,3,6000,17000,4,3,Moderate,Gym,Moderate,Moderate,"(Electrician, Contractor, Supervisor)",50000-150000
Harpale Vasti,Near DSK Vishwa,Pune,Apartment,6800000,1150,3,5913,17500,4,3,Moderate,Gated Society,Moderate,Moderate,"(Teacher, Accountant, Local Business Owner)",60000-180000
Katraj,Gokul Nagar,Pune,Apartment,7800000,1300,3,6000,22000,6,5,High,Swimming Pool,High,Moderate,"(Medical Representative, Consultant, Lawyer)",80000-250000
Katraj,Ambegaon Budruk,Pune,Apartment,8100000,1350,3,6007,23000,6,5,High,Gated Security,High,Moderate,"(Software Developer, Marketing Manager, Financial Analyst)",90000-300000
Katraj,Khandoba Mal,Pune,Apartment,7600000,1280,3,5938,21000,6,5,High,Security,High,Moderate,"(Retail Manager, IT Professional, Digital Marketer)",70000-250000
Katraj,Near Bharati Vidyapeeth,Pune,Apartment,8200000,1400,3,5857,24000,7,6,High,Gym,High,Moderate,"(Professor, Investment Banker, Software Engineer)",90000-350000
Undri,Near Bishop’s School,Pune,Apartment,8500000,1450,3,5862,25000,7,6,High,Clubhouse,High,Low,"(IT Manager, Consultant, Startup Founder)",120000-400000
Undri,Near Clover Highlands,Pune,Apartment,8700000,1500,3,5800,26000,7,6,High,Gated Security,High,Low,"(Entrepreneur, Lawyer, Senior Analyst)",150000-500000
Mohamadwadi,Near Dorabjee Mall,Pune,Apartment,9200000,1550,3,5935,28000,7,6,High,Swimming Pool,High,Low,"(Doctor, Software Engineer, Financial Advisor)",120000-400000
Mohamadwadi,Near Corinthians Club,Pune,Apartment,9400000,1600,3,5875,29000,7,6,High,Gym,High,Low,"(Investment Banker, Consultant, Business Owner)",150000-600000
Kondhwa,Near NIBM Road,Pune,Apartment,8800000,1450,3,6069,25000,6,5,High,Gated Community,High,Moderate,"(Doctor, Consultant, Marketing Director)",100000-500000
Kondhwa,Kausar Baug,Pune,Apartment,8600000,1400,3,6143,24000,6,5,High,Parking,High,Moderate,"(Software Engineer, Civil Engineer, Architect)",90000-350000
Loni Kalbhor,Near Lonikalbhor Railway Station,Pune,Apartment,7500000,1350,3,5556,21000,5,4,Moderate,Gated Society,Moderate,Moderate,"(Retailer, Local Business Owner, Shopkeeper)",50000-180000
Loni Kalbhor,Near MIT College,Pune,Apartment,7700000,1400,3,5500,22000,5,4,Moderate,Security,Moderate,Moderate,"(Professor, Accountant, Marketing Professional)",70000-200000
Wagholi,Ubale Nagar,Pune,Apartment,6200000,1100,2,5636,16000,5,4,Moderate,Gated Security,Moderate,Moderate,"(Software Engineer, Accountant, Sales Executive)",60000-180000
Wagholi,Lake Vista,Pune,Apartment,6400000,1150,2,5565,17000,5,4,Moderate,Gym,Moderate,Moderate,"(Marketing Professional, IT Consultant, Data Analyst)",70000-200000
Wagholi,Near Kesnand Phata,Pune,Apartment,6000000,1050,2,5714,15000,4,3,Moderate,Parking,Moderate,Moderate,"(Retailer, Sales Manager, HR Executive)",50000-150000
Wagholi,RMC Garden,Pune,Apartment,6500000,1200,3,5417,17500,5,4,Moderate,Swimming Pool,Moderate,Moderate,"(Professor, IT Manager, Business Owner)",80000-250000
Bakori,Bakori Road,Pune,Apartment,5700000,1000,2,5700,14000,4,3,Moderate,Gated Community,Moderate,Moderate,"(Electrician, Consultant, Marketing Professional)",50000-150000
Bakori,Near Lexicon School,Pune,Apartment,5900000,1050,2,5619,15000,4,3,Moderate,Security,Moderate,Moderate,"(Professor, Digital Marketer, Financial Analyst)",60000-180000
Kesnand,Near HP Petrol Pump,Pune,Apartment,5600000,950,2,5895,13500,4,3,Moderate,Parking,Moderate,Moderate,"(Local Vendor, Retailer, Civil Engineer)",40000-120000
Alandi,Dehu Phata,Pune,Apartment,6800000,1200,3,5667,18000,5,4,Moderate,Gated Society,Moderate,Moderate,"(Professor, Accountant, Marketing Professional)",60000-180000
Alandi,Near Dnyaneshwar Temple,Pune,Apartment,7000000,1250,3,5600,19000,5,4,Moderate,Parking,Moderate,Moderate,"(Religious Guru, Local Business Owner, Tour Guide)",70000-200000
Alandi,Charholi Budruk,Pune,Apartment,7200000,1300,3,5538,20000,6,4,Moderate,Gym,Moderate,Moderate,"(Software Developer, HR Executive, Marketing Consultant)",80000-250000
Charholi,Near D Y Patil College,Pune,Apartment,7400000,1350,3,5481,21000,6,4,Moderate,Gated Community,Moderate,Moderate,"(Professor, IT Support Engineer, Business Analyst)",90000-280000
Dighi,Bhosari Road,Pune,Apartment,7600000,1400,3,5429,22000,6,5,High,Security,High,Low,"(Factory Worker, Supervisor, IT Technician)",70000-200000
Dighi,Near Air Force Station,Pune,Apartment,7800000,1450,3,5379,23000,6,5,High,Gym,High,Low,"(Defense Officer, Teacher, Financial Analyst)",90000-300000
Bhosari,Near MIDC Area,Pune,Apartment,8000000,1500,3,5333,24000,7,5,High,Gated Community,High,Low,"(Engineer, Technician, Local Business Owner)",100000-350000
Bhosari,Landewadi,Pune,Apartment,8200000,1550,3,5290,25000,7,5,High,Security,High,Low,"(Retail Business, Sales Executive, IT Consultant)",90000-300000
Hadaosar,Ramtekdi Industrial Area,Pune,Apartment,8400000,1600,3,5250,26000,7,6,High,Gated Society,High,Low,"(Factory Manager, Logistics Coordinator, HR Professional)",110000-400000
Hadapsar,Near Amanora Mall,Pune,Apartment,8600000,1650,3,5212,27000,8,6,Very High,Clubhouse,Very High,Low,"(Corporate Executive, Consultant, Startup Founder)",150000-500000
Hadapsar,SP Infocity,Pune,Apartment,8800000,1700,3,5176,28000,8,6,Very High,Gym,Very High,Low,"(Software Engineer, Project Manager, Business Owner)",140000-450000
Manjari,Near Manjari Stud Farm,Pune,Apartment,9000000,1750,3,5143,29000,8,6,Very High,Gated Community,Very High,Low,"(IT Director, CEO, Senior Consultant)",180000-600000
Keshav Nagar,Near EON IT Park,Pune,Apartment,9200000,1800,3,5111,30000,8,7,Very High,Security,Very High,Low,"(Software Developer, Investment Banker, Entrepreneur)",200000-700000
Mundhwa,Ghorpadi,Pune,Apartment,9400000,1850,3,5081,31000,9,7,Very High,Clubhouse,Very High,Low,"(Doctor, Lawyer, Business Consultant)",160000-500000
Viman Nagar,Near Phoenix Marketcity,Pune,Apartment,9600000,1900,3,5053,32000,9,7,Very High,Swimming Pool,Very High,Low,"(Corporate Lawyer, Investment Banker, Fashion Designer)",200000-800000
Viman Nagar,Lane No 6,Pune,Apartment,9800000,1950,3,5026,33000,9,7,Very High,Gated Security,Very High,Low,"(Consultant, Senior Manager, Startup Founder)",180000-700000
AIT Vishrantwadi,Near Army Institute of Technology,Pune,Apartment,10000000,2000,3,5000,34000,9,7,Very High,Gym,Very High,Low,"(Professor, Army Officer, Research Scientist)",150000-500000
Vishrantwadi,Dhanori Road,Pune,Apartment,10200000,2050,3,4976,35000,9,7,Very High,Clubhouse,Very High,Low,"(Real Estate Investor, Consultant, CEO)",200000-800000
Lohegaon,Near Pune Airport,Pune,Apartment,10400000,2100,3,4952,36000,9,7,Very High,Parking,Very High,Low,"(Pilot, Air Traffic Controller, Hospitality Manager)",180000-700000
Lohegaon,Airport Road,Pune,Apartment,10600000,2150,3,4930,37000,9,7,Very High,Swimming Pool,Very High,Low,"(Corporate Executive, Doctor, Business Owner)",200000-750000
Kharadi,Near Zensar IT Park,Pune,Apartment,10800000,2200,3,4909,38000,9,7,Very High,Gated Community,Very High,Low,"(Software Engineer, Data Scientist, IT Director)",200000-600000
Kharadi,World Trade Center,Pune,Apartment,11000000,2250,3,4889,39000,9,7,Very High,Security,Very High,Low,"(Financial Analyst, Entrepreneur, Marketing Head)",250000-900000
Yerwada,Near Gunjan Theatre,Pune,Apartment,11200000,2300,3,4870,40000,9,7,Very High,Clubhouse,Very High,Low,"(Civil Servant, Senior Consultant, Professor)",200000-800000
Yerwada,Shastri Nagar,Pune,Apartment,11400000,2350,3,4851,41000,9,7,Very High,Gym,Very High,Low,"(Judge, Lawyer, Government Official)",220000-850000
Ghorpadi,Near Bishop's School,Pune,Apartment,11600000,2400,3,4833,42000,9,7,Very High,Security,Very High,Low,"(Real Estate Developer, Architect, Senior Manager)",180000-700000
Kondhwa,NIBM Road,Pune,Apartment,11800000,2450,3,4816,43000,9,7,Very High,Swimming Pool,Very High,Low,"(Business Owner, Marketing Director, Investment Banker)",220000-900000
Undri,Near Bishop's School,Pune,Apartment,12000000,2500,3,4800,44000,9,7,Very High,Gated Security,Very High,Low,"(Corporate Lawyer, CEO, Finance Manager)",250000-1000000
Mohamadwadi,Near Corinthians Club,Pune,Apartment,12200000,2550,3,4784,45000,9,7,Very High,Clubhouse,Very High,Low,"(Sports Coach, Wellness Expert, Film Producer)",300000+
Nanded City,Near Sinhagad Road,Pune,Apartment,12400000,2600,3,4769,46000,9,7,Very High,Gym,Very High,Low,"(Software Engineer, Consultant, Entrepreneur)",180000-600000
Warje,Near NDA Road,Pune,Apartment,12600000,2650,3,4755,47000,9,7,Very High,Security,Very High,Low,"(Professor, Research Scientist, Data Analyst)",200000-750000
Katraj,Near Bharati Vidyapeeth,Pune,Apartment,12800000,2700,3,4741,48000,9,7,Very High,Parking,Very High,Low,"(Educationist, Consultant, Business Owner)",200000-800000
Dhomkhed,Near Pune-Solapur Highway,Pune,Apartment,4200000,950,2,4421,12000,3,2,Low,Gated Society,Moderate,Moderate,"(Farmers, Small Business Owners, Teachers)",30000-100000
Dhomkhed,Near Industrial Zone,Pune,Row House,6500000,1500,3,4333,18000,4,3,Moderate,Gym,Moderate,Low,"(Factory Supervisors, Consultants, IT Technicians)",50000-150000
Kesnand,Near Kesnand Phata,Pune,Apartment,4700000,1000,2,4700,14000,4,3,Moderate,Security,Moderate,Moderate,"(Agricultural Traders, IT Support, Small Entrepreneurs)",40000-120000
Kesnand,Near Balaji Temple,Pune,Row House,7200000,1600,3,4500,20000,5,3,Moderate,Gated Community,Moderate,Low,"(School Teachers, Real Estate Agents, Traders)",60000-180000
Perne,Near Alandi Road,Pune,Apartment,5000000,1100,2,4545,15000,4,3,Moderate,Security,Moderate,Moderate,"(Construction Workers, Shopkeepers, Mid-Level Executives)",40000-120000
Perne,Near MIDC Area,Pune,Row House,7800000,1700,3,4588,21000,5,4,Moderate,Clubhouse,Moderate,Low,"(Factory Managers, Marketing Professionals, Self-Employed)",70000-200000
Manjari Budruk,Near Manjari Station,Pune,Apartment,5300000,1150,2,4609,16000,5,3,Moderate,Parking,Moderate,Moderate,"(IT Technicians, Teachers, Local Business Owners)",50000-150000
Theur,Near Chintamani Temple,Pune,Apartment,4900000,1050,2,4667,14000,4,3,Moderate,Gated Society,Moderate,Moderate,"(Pilgrimage Business Owners, Teachers, Consultants)",40000-110000
Theur,Near Hadapsar Road,Pune,Row House,7500000,1650,3,4545,20000,5,4,Moderate,Gym,Moderate,Low,"(Software Engineers, Government Officers, Bankers)",70000-220000
Uruli Kanchan,Near Ayurveda Hospital,Pune,Apartment,4800000,1000,2,4800,13000,3,3,Low,Security,Moderate,Moderate,"(Doctors, Ayurvedic Practitioners, IT Support)",35000-120000
Uruli Kanchan,Near Railway Station,Pune,Row House,7000000,1550,3,4516,19000,5,4,Moderate,Parking,Moderate,Low,"(Retailers, Consultants, Small Business Owners)",60000-180000
Khadakwasla,Near NDA Road,Pune,Apartment,5200000,1100,2,4727,15000,4,3,Moderate,Security,Moderate,Moderate,"(Defense Employees, Teachers, Sports Coaches)",45000-140000
Khadakwasla,Near Dam Area,Pune,Row House,8500000,1800,3,4722,23000,6,4,Moderate,Gated Community,Moderate,Low,"(Defense Officers, Professors, Entrepreneurs)",90000-300000
Kirkatwadi,Near Sinhagad Road,Pune,Apartment,5500000,1200,2,4583,17000,4,3,Moderate,Parking,Moderate,Moderate,"(Teachers, Real Estate Brokers, Hospitality Managers)",50000-160000
Shindawane,Near Pune-Pandharpur Road,Pune,Apartment,4800000,1000,2,4800,14000,3,2,Low,Security,Moderate,Moderate,"(Farmers, Teachers, Ayurvedic Practitioners)",35000-100000
Shindawane,Near Temple Area,Pune,Row House,6800000,1500,3,4533,19000,5,3,Moderate,Gated Community,Moderate,Low,"(Small Business Owners, Government Employees, Consultants)",60000-180000
Yewalewadi,Near Kondhwa Annexe,Pune,Apartment,6200000,1300,2,4769,18000,4,3,Moderate,Security,Moderate,Moderate,"(IT Professionals, Traders, Consultants)",55000-170000
Yewalewadi,Near Bharti Vidyapeeth,Pune,Row House,9200000,1900,3,4842,25000,6,4,Moderate,Clubhouse,Moderate,Low,"(Lawyers, Doctors, Government Officers)",100000-400000
Fursungi,Near SP Infocity,Pune,Apartment,6000000,1250,2,4800,17000,4,3,Moderate,Security,Moderate,Moderate,"(Software Engineers, Business Analysts, Consultants)",70000-250000
Fursungi,Near Hadapsar Industrial Area,Pune,Row House,8500000,1750,3,4857,24000,6,4,Moderate,Gym,Moderate,Low,"(Factory Managers, HR Professionals, Investment Consultants)",90000-350000
Loni Kalbhor,Near Pune-Solapur Highway,Pune,Apartment,5700000,1150,2,4957,16000,3,3,Moderate,Gated Society,Moderate,Moderate,"(IT Support, Teachers, Small Traders)",50000-150000
Loni Kalbhor,Near College Road,Pune,Row House,8100000,1700,3,4765,22000,5,4,Moderate,Parking,Moderate,Low,"(Professors, Government Officers, Engineers)",75000-300000
Dhomkhed,Near Pune-Solapur Highway,Pune,Apartment,4200000,950,2,4421,12000,3,2,Low,Gated Society,Moderate,Moderate,"(Farmers, Small Business Owners, Teachers)",30000-100000
Dhomkhed,Near Industrial Zone,Pune,Row House,6500000,1500,3,4333,18000,4,3,Moderate,Gym,Moderate,Low,"(Factory Supervisors, Consultants, IT Technicians)",50000-150000
Kesnand,Near Kesnand Phata,Pune,Apartment,4700000,1000,2,4700,14000,4,3,Moderate,Security,Moderate,Moderate,"(Agricultural Traders, IT Support, Small Entrepreneurs)",40000-120000
Kesnand,Near Balaji Temple,Pune,Row House,7200000,1600,3,4500,20000,5,3,Moderate,Gated Community,Moderate,Low,"(School Teachers, Real Estate Agents, Traders)",60000-180000
Perne,Near Alandi Road,Pune,Apartment,5000000,1100,2,4545,15000,4,3,Moderate,Security,Moderate,Moderate,"(Construction Workers, Shopkeepers, Mid-Level Executives)",40000-120000
Perne,Near MIDC Area,Pune,Row House,7800000,1700,3,4588,21000,5,4,Moderate,Clubhouse,Moderate,Low,"(Factory Managers, Marketing Professionals, Self-Employed)",70000-200000
Manjari Budruk,Near Manjari Station,Pune,Apartment,5300000,1150,2,4609,16000,5,3,Moderate,Parking,Moderate,Moderate,"(IT Technicians, Teachers, Local Business Owners)",50000-150000
Theur,Near Chintamani Temple,Pune,Apartment,4900000,1050,2,4667,14000,4,3,Moderate,Gated Society,Moderate,Moderate,"(Pilgrimage Business Owners, Teachers, Consultants)",40000-110000
Theur,Near Hadapsar Road,Pune,Row House,7500000,1650,3,4545,20000,5,4,Moderate,Gym,Moderate,Low,"(Software Engineers, Government Officers, Bankers)",70000-220000
Uruli Kanchan,Near Ayurveda Hospital,Pune,Apartment,4800000,1000,2,4800,13000,3,3,Low,Security,Moderate,Moderate,"(Doctors, Ayurvedic Practitioners, IT Support)",35000-120000
Uruli Kanchan,Near Railway Station,Pune,Row House,7000000,1550,3,4516,19000,5,4,Moderate,Parking,Moderate,Low,"(Retailers, Consultants, Small Business Owners)",60000-180000
Khadakwasla,Near NDA Road,Pune,Apartment,5200000,1100,2,4727,15000,4,3,Moderate,Security,Moderate,Moderate,"(Defense Employees, Teachers, Sports Coaches)",45000-140000
Khadakwasla,Near Dam Area,Pune,Row House,8500000,1800,3,4722,23000,6,4,Moderate,Gated Community,Moderate,Low,"(Defense Officers, Professors, Entrepreneurs)",90000-300000
Kirkatwadi,Near Sinhagad Road,Pune,Apartment,5500000,1200,2,4583,17000,4,3,Moderate,Parking,Moderate,Moderate,"(Teachers, Real Estate Brokers, Hospitality Managers)",50000-160000
Shindawane,Near Pune-Pandharpur Road,Pune,Apartment,4800000,1000,2,4800,14000,3,2,Low,Security,Moderate,Moderate,"(Farmers, Teachers, Ayurvedic Practitioners)",35000-100000
Shindawane,Near Temple Area,Pune,Row House,6800000,1500,3,4533,19000,5,3,Moderate,Gated Community,Moderate,Low,"(Small Business Owners, Government Employees, Consultants)",60000-180000
Yewalewadi,Near Kondhwa Annexe,Pune,Apartment,6200000,1300,2,4769,18000,4,3,Moderate,Security,Moderate,Moderate,"(IT Professionals, Traders, Consultants)",55000-170000
Yewalewadi,Near Bharti Vidyapeeth,Pune,Row House,9200000,1900,3,4842,25000,6,4,Moderate,Clubhouse,Moderate,Low,"(Lawyers, Doctors, Government Officers)",100000-400000
Fursungi,Near SP Infocity,Pune,Apartment,6000000,1250,2,4800,17000,4,3,Moderate,Security,Moderate,Moderate,"(Software Engineers, Business Analysts, Consultants)",70000-250000
Fursungi,Near Hadapsar Industrial Area,Pune,Row House,8500000,1750,3,4857,24000,6,4,Moderate,Gym,Moderate,Low,"(Factory Managers, HR Professionals, Investment Consultants)",90000-350000
Loni Kalbhor,Near Pune-Solapur Highway,Pune,Apartment,5700000,1150,2,4957,16000,3,3,Moderate,Gated Society,Moderate,Moderate,"(IT Support, Teachers, Small Traders)",50000-150000
Loni Kalbhor,Near College Road,Pune,Row House,8100000,1700,3,4765,22000,5,4,Moderate,Parking,Moderate,Low,"(Professors, Government Officers, Engineers)",75000-300000
Khadki,Near Khadki Railway Station,Pune,Apartment,8700000,1250,3,6960,26000,6,5,High,Gated Society,High,Low,"(Defense Officer, Government Employee, Engineer)",100000-400000
Khadki,Bazar Area,Pune,Apartment,7800000,1100,2,7090,22000,5,4,Moderate,Clubhouse,Moderate,Moderate,"(Trader, Shop Owner, Teacher)",60000-200000
Khadki,BOI Colony,Pune,Row House,11000000,1800,3,6111,30000,6,5,High,Security,High,Low,"(Retired Army Officer, Banker, Consultant)",150000-500000
Pune Cantonment,MG Road,Pune,Apartment,12500000,1600,3,7813,40000,8,7,Very High,Gated Community,Very High,Low,"(Senior Bureaucrat, Business Owner, Lawyer)",200000-600000
Pune Cantonment,Ghorpadi,Pune,Apartment,9800000,1400,3,7000,30000,7,6,High,Security,High,Low,"(Defense Staff, Doctor, Architect)",150000-500000
Pune Cantonment,East Street,Pune,Apartment,11500000,1500,3,7667,38000,8,7,Very High,Gym,Very High,Low,"(Retail Business Owner, Marketing Executive, Bank Manager)",120000-500000
Lohegaon,Near Airport,Pune,Apartment,8200000,1300,3,6308,25000,6,5,High,Gated Society,High,Low,"(Pilot, Air Force Officer, IT Professional)",100000-400000
Lohegaon,Dhanori Road,Pune,Apartment,7800000,1200,3,6500,22000,5,4,Moderate,Parking,Moderate,Moderate,"(Software Developer, Security Personnel, Technician)",70000-200000
Dighi,Near Alandi Road,Pune,Apartment,7200000,1200,3,6000,20000,5,4,Moderate,Security,Moderate,Moderate,"(Industrial Worker, Small Business Owner, Accountant)",60000-180000
Dighi,Ashok Nagar,Pune,Apartment,6800000,1100,2,6181,17000,4,3,Moderate,Gym,Moderate,Moderate,"(Professor, Research Scientist, College Lecturer)",70000-180000
Bhosari,Near Nashik Phata,Pune,Apartment,9000000,1400,3,6429,28000,6,5,High,Parking,High,Low,"(Factory Supervisor, Mechanical Engineer, HR Manager)",100000-300000
Pimpri,Thermax Chowk,Pune,Apartment,9600000,1450,3,6621,29000,6,5,High,Gated Security,High,Low,"(Pharmaceutical Scientist, Manager, Data Analyst)",120000-400000
Chinchwad,Chapekar Chowk,Pune,Apartment,8900000,1300,3,6846,26000,6,5,High,Clubhouse,High,Low,"(Automobile Engineer, Bank Executive, Teacher)",100000-350000
Chakan,Shikrapur Road,Pune,Apartment,7500000,1200,3,6250,20000,5,4,Moderate,Security,Moderate,Moderate,"(Logistics Manager, Factory Worker, Consultant)",80000-250000
Talegaon,Near Floriculture Park,Pune,Villa,14000000,2200,4,6364,50000,7,6,High,Swimming Pool,High,Low,"(Resort Owner, Manufacturing Head, Export Business)",250000-800000
Khed,Near Chakan MIDC,Pune,Row House,6700000,1300,3,5154,19000,4,3,Moderate,Parking,Moderate,Moderate,"(Shop Owner, Industrial Worker, Real Estate Agent)",50000-150000
Nigdi,Near Bhakti Shakti,Pune,Apartment,8900000,1350,3,6593,27000,6,5,High,Gated Society,High,Low,"(Government Employee, Architect, Chartered Accountant)",120000-400000
Nigdi,Yamuna Nagar,Pune,Apartment,8700000,1300,3,6692,26000,6,5,High,Security,High,Low,"(Software Consultant, Mechanical Engineer, Pharmacist)",100000-350000
Shirur,Near Ranjangaon,Pune,Apartment,6200000,1100,2,5636,16000,4,3,Moderate,Gym,Moderate,Moderate,"(Industrial Worker, Maintenance Engineer, Shop Owner)",60000-150000
Jejuri,Near MIDC,Pune,Row House,5500000,1400,3,3929,18000,3,2,Moderate,Parking,Moderate,Moderate,"(Temple Priest, Tourism Business, Local Trader)",40000-120000
Rajgurunagar,Near Chakan,Pune,Apartment,6500000,1200,3,5417,19000,4,3,Moderate,Security,Moderate,Moderate,"(Farmer, Government Clerk, Real Estate Agent)",50000-150000
Kamshet,Near Old Mumbai-Pune Highway,Pune,Villa,17000000,2800,4,6071,70000,8,7,Very High,Gated Community,Very High,Low,"(Resort Owner, Investment Banker, Entrepreneur)",300000+
Lavale,Near MIT Pune Campus,Pune,Apartment,7500000,1200,2,6250,20000,5,4,Moderate,Gym,Moderate,Moderate,"(Professor, Researcher, Corporate Trainer)",60000-200000
Pirangut,Near Hinjewadi Phase 3,Pune,Apartment,7800000,1200,3,6500,22000,5,4,Moderate,Gated Society,Moderate,Moderate,"(IT Engineer, Accountant, Marketing Executive)",80000-250000
Mulshi,Darumbre Village,Pune,Row House,6000000,1300,3,4615,18000,3,2,Moderate,Parking,Moderate,Moderate,"(Farmer, Organic Business Owner, Local Builder)",40000-120000
Pashan,Bavdhan Road,Pune,Apartment,11500000,1500,3,7667,35000,7,6,High,Gated Security,High,Low,"(Lawyer, Consultant, IT Director)",150000-500000
Bavdhan,Chandani Chowk,Pune,Apartment,10800000,1450,3,7448,34000,7,6,High,Clubhouse,High,Low,"(Software Engineer, Financial Analyst, Startup Owner)",120000-400000
Narhe,Near Sinhagad College,Pune,Apartment,7600000,1200,3,6333,21000,5,4,Moderate,Security,Moderate,Moderate,"(Professor, Civil Engineer, Sales Manager)",70000-200000
Ambegaon Budruk,Near ISKCON Temple,Pune,Apartment,8000000,1300,3,6154,23000,6,5,High,Gated Community,High,Low,"(Doctor, Financial Advisor, Business Consultant)",100000-350000
Kasarsai,Near Hinjewadi,Pune,Apartment,7500000,1100,2,6818,18000,5,4,High,Gated Community,High,Low,"(Software Developer, Data Analyst, IT Consultant)",80000-250000
Marunji,Near Phase 3 Hinjewadi,Pune,Apartment,8200000,1200,2,6833,20000,6,4,High,Security,High,Low,"(Project Manager, IT Support, Engineer)",90000-280000
Moshi,Near Spine Road,Pune,Apartment,8900000,1250,3,7120,25000,6,5,High,Clubhouse,High,Low,"(Software Engineer, Marketing Executive, Financial Analyst)",100000-300000
Charholi,Near D.Y. Patil Knowledge City,Pune,Apartment,7800000,1200,3,6500,21000,5,4,High,Gym,High,Low,"(HR Manager, Teacher, Consultant)",75000-220000
Vadgaon Maval,Near Expressway,Pune,Villa,16500000,3000,4,5500,60000,8,6,Moderate,Garden,High,Low,"(Investor, Business Owner, Entrepreneur)",200000-600000
Khandala,Near Karla Caves,Pune,Villa,24000000,4000,5,6000,85000,9,7,Very High,Swimming Pool,Very High,Low,"(Startup Founder, Senior Executive, Investor)",300000+
Junnar,Near Shivneri Fort,Pune,House,5500000,2000,3,2750,15000,4,3,Moderate,Parking,Moderate,Moderate,"(Farmer, Local Businessman, Government Employee)",40000-150000
Otur,Near Junnar,Pune,House,5000000,1800,3,2778,14000,4,3,Moderate,Garden,Moderate,Moderate,"(Shop Owner, Agricultural Consultant, Teacher)",35000-120000
Manchar,Near Pune-Nashik Highway,Pune,Apartment,6700000,1100,2,6091,18000,4,3,Moderate,Security,Moderate,Moderate,"(Retail Manager, Sales Executive, Pharmacist)",60000-150000
Pargaon,Near Bhigwan Road,Pune,House,4200000,1500,2,2800,10000,3,2,Moderate,Parking,Moderate,Moderate,"(Local Trader, Teacher, Hotel Owner)",30000-100000
Morgaon,Near Jejuri,Pune,House,4500000,1600,3,2813,12000,3,2,Moderate,Garden,Moderate,Moderate,"(Priest, Shop Owner, Guide)",35000-100000
Supa,Near MIDC Area,Pune,Apartment,6000000,1200,2,5000,16000,4,3,High,Gym,High,Low,"(Industrial Worker, IT Professional, Supervisor)",70000-200000
Velhe,Near Torna Fort,Pune,House,4800000,1700,3,2824,13000,3,2,Moderate,Security,Moderate,Moderate,"(Hotel Owner, Local Guide, Agriculture Consultant)",40000-110000
Nasrapur,Near NH-48,Pune,House,5200000,1800,3,2889,14000,4,3,Moderate,Parking,Moderate,Moderate,"(Government Employee, Businessman, Civil Engineer)",45000-130000
Uruli Kanchan,Near Railway Station,Pune,Apartment,7200000,1250,3,5760,21000,5,4,High,Gym,High,Low,"(Software Engineer, Teacher, Consultant)",80000-250000
Theur,Near Chintamani Temple,Pune,House,4900000,1700,3,2882,12000,3,2,Moderate,Parking,Moderate,Moderate,"(Religious Leader, Farmer, Shop Owner)",40000-110000
Paud,Near Mulshi Road,Pune,Villa,15000000,2800,4,5357,55000,8,6,High,Swimming Pool,High,Low,"(Business Owner, Investor, Corporate Executive)",200000-600000
Bhugaon,Near Chandani Chowk,Pune,Apartment,10200000,1500,3,6800,29000,6,5,Very High,Clubhouse,High,Low,"(IT Manager, Lawyer, Marketing Head)",150000-400000
Shivane,Near NDA Road,Pune,Apartment,8700000,1300,3,6692,26000,6,5,High,Gated Community,High,Low,"(Bank Manager, Software Developer, Real Estate Agent)",100000-350000
